,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING
252,St Catherine of Siena Catholic Primary School,great colmore street,B15 2AY,-1.9012040730000002,52.47188409,Lee Bank,Mixed,Outstanding
253,St Chad's Catholic Primary School,hospital street,B19 3XD,-1.901128688,52.49247997,Newtown,Mixed,Good
254,St Chad's Catholic Primary School,hospital street,B19 3XD,-1.901128688,52.49247997,Newtown,Mixed,
255,St Clare's Catholic Primary School,robert road,B20 3RT,-1.9132007690000001,52.51009168,Handsworth,Mixed,Requires improvement
256,St Clement's Church of England Academy,butlin street,B7 5NS,-1.8679081219999998,52.50017902,Nechells,Mixed,Good
257,St Columba's Catholic Primary School,lickey road,B45 8TD,-1.9909462880000002,52.39469141,Rednal,Mixed,Good
258,St Cuthbert's RC Junior and Infant (NC) School,gumbleberrys close,B8 2PS,-1.818572949,52.48620637,Off Cotterills Lane,Mixed,Good
259,St Dunstan's Catholic Primary School,drayton road,B14 7LP,-1.889805374,52.43225512,Kings Heath,Mixed,Good
260,St Edmund Campion Catholic School & Sixth Form Centre,sutton road,B23 5XA,-1.830641236,52.53033774,Erdington,Mixed,Good
261,St Edmund's Catholic Primary School,rosebery street,B18 7PA,-1.923215869,52.48701248,Springhill,Mixed,Requires improvement
262,St Edward's Catholic Primary School,greenland road,B29 7PN,-1.9190526419999998,52.43869931,Selly Park,Mixed,Good
263,St Francis Catholic Primary School,nursery road,B19 1PH,-1.914226566,52.49775827,Handsworth,Mixed,Good
264,St Francis Church of England Aided Primary School and Nursery,teazel avenue,B30 1LZ,-1.945619135,52.42331272,Bournville,Mixed,Good
265,"St George's Church of England Academy, Newtown",st george's street,B19 3QY,-1.903209975,52.49036911,,Mixed,Good
266,St George's Church of England Primary School,beaufort road,B16 8HY,-1.928480814,52.47315326,,Mixed,Good
267,St Gerard's RC Junior and Infant School,yatesbury avenue,B35 6LB,-1.786632534,52.52263432,Castle Vale,Mixed,Good
268,St James Catholic Primary School,leach heath lane,B45 9BN,-2.011886903,52.39231768,Rednal,Mixed,
269,"St James Church of England Primary School, Handsworth",sandwell road,B21 8NH,-1.949198786,52.50786504,,Mixed,Good
270,St John and Monica Catholic Primary School,chantry road,B13 8DW,-1.894424539,52.45042808,Moseley,Mixed,Good
271,St John Fisher Catholic Primary School,alvechurch road,B31 3PN,-1.959777632,52.39367813,West Heath,Mixed,Good
272,St John Fisher Catholic Primary School,alvechurch road,B31 3PN,-1.959777632,52.39367813,West Heath,Mixed,
273,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding
274,St Jude's Catholic Primary School,st jude's close,B14 5PD,-1.889394385,52.40538522,Maypole,Mixed,Good
275,St Laurence Church Infant School,bunbury road,B31 2DJ,-1.9644494819999998,52.41436435,Northfield,Mixed,Good
276,St Laurence Church Junior School,bunbury road,B31 2DJ,-1.962787109,52.41488664,Northfield,Mixed,Good
277,St Margaret Mary RC Junior and Infant School,perry common road,B23 7AB,-1.8637844430000001,52.53329313,,Mixed,Good
278,St Mark's Catholic Primary School,almond croft,B42 1NU,-1.928632268,52.53450055,Old Walsall Road,Mixed,Outstanding
279,St Martin de Porres Catholic Primary School,oakland road,B13 9DN,-1.881792286,52.4477282,Moseley,Mixed,Good
280,St Mary and St John Junior and Infant School,beaufort road,B23 7NB,-1.848274433,52.51660705,Erdington,Mixed,Special Measures
281,St Mary and St John Junior and Infant School,beaufort road,B23 7NB,-1.848274433,52.51660705,Erdington,Mixed,
282,St Mary's Catholic Primary School,vivian road,B17 0DN,-1.95215373,52.45649592,Harborne,Mixed,Outstanding
283,St Mary's Church of England Primary School,lodge hill road,B29 6NU,-1.943054963,52.43908002,Selly Oak,Mixed,Good
284,"St Marys C of E Primary and Nursery, Academy, Handsworth",hamstead road,B20 2RW,-1.919416557,52.51119287,Handsworth,Mixed,Good
285,St Matthew's CofE Primary School,duddeston manor road,B7 4JR,-1.8782794409999999,52.48919542,Nechells,Mixed,Outstanding
286,"St Michael's CofE Primary Academy, Handsworth",piers road,B21 0UX,-1.9248125790000001,52.5006512,Handsworth,Mixed,Requires improvement
287,St Nicholas Catholic Primary School,jockey road,B73 5US,-1.8398425930000002,52.54980462,,Mixed,
288,St Patrick's Catholic Primary School,dudley road,B18 7QW,-1.931640445,52.48626241,,Mixed,Good
289,St Paul's Catholic Primary School,sisefield road,B38 9JB,-1.924628276,52.40118575,Kings Norton,Mixed,Good
290,St Paul's School for Girls,vernon road,B16 9SL,-1.9407703319999998,52.47556927,Edgbaston,Girls,Outstanding
291,St Peter and St Paul RC Junior and Infant School,kingsbury road,B24 9ND,-1.823982485,52.51820064,Erdington,Mixed,Good
292,St Peter and St Paul RC Junior and Infant School,kingsbury road,B24 9ND,-1.823982485,52.51820064,Erdington,Mixed,
293,St Peter's Catholic Primary School,adams hill,B32 3QD,-1.99977399,52.43631834,Bartley Green,Mixed,Outstanding
294,St Peters CofE Primary School,old church road,B17 0BE,-1.958211269,52.45423508,Harborne,Mixed,Good
295,St Saviour's C of E Primary School,alum rock road,B8 1JB,-1.857447497,52.49157256,Saltley,Mixed,Good
296,St Teresa's Catholic Primary School,butlers road,B20 2NY,-1.9229282619999999,52.51684086,Handsworth Wood,Mixed,Good
297,St Thomas Aquinas Catholic School,wychall lane,B38 8AP,-1.94732598,52.41004419,Kings Norton,Mixed,Good
298,St Thomas More Catholic Primary School,horse shoes lane,B26 3HU,-1.782846783,52.45635347,Sheldon,Mixed,Serious Weaknesses
299,St Thomas More Catholic Primary School,horse shoes lane,B26 3HU,-1.782846783,52.45635347,,Mixed,
300,St Vincent's Catholic Primary School,vauxhall grove,B7 4HP,-1.875316039,52.48510191,Vauxhall,Mixed,Good
301,St Wilfrid's Catholic Junior and Infant School,shawsdale road,B36 8LY,-1.800389702,52.50495707,,Mixed,Good
302,St Wilfrid's Catholic Junior and Infant School,shawsdale road,B36 8LY,-1.800389702,52.50495707,,Mixed,
303,Stanville Primary School,stanville road,B26 3YN,-1.7791817369999998,52.46236998,,Mixed,Good
304,Starbank School,starbank road,B10 9LR,-1.832756696,52.47000031,,Mixed,
305,Stechford Primary School,albert road,B33 8SJ,-1.813152325,52.47958134,Stechford,Mixed,Good
306,Stirchley Primary School,pershore road,B30 2JL,-1.9231593919999999,52.42612319,Stirchley,Mixed,Good
307,Stockland Green School,slade road,B23 7JH,-1.8618552240000001,52.523240200000004,Erdington,Mixed,Good
308,Summerfield Junior and Infant School,cuthbert road,B18 4AH,-1.939662936,52.48874799,Winson Green,Mixed,Requires improvement
309,Sundridge Primary School,sundridge road,B44 9NY,-1.8962033059999999,52.55777834,Kingstanding,Mixed,Requires improvement
310,Sutton Coldfield Grammar School for Girls,jockey road,B73 5PT,-1.8298265180000002,52.55428557,,Girls,
311,Swanshurst School,brook lane,B13 0TW,-1.874183805,52.42967285,Billesley,Girls,Outstanding
312,Tame Valley Academy,chillinghome road,B36 8QJ,-1.8145699869999998,52.50663432,,Mixed,Good
313,The Arthur Terry School,kittoe road,B74 4RZ,-1.8361934580000001,52.58964437,Four Oaks,Mixed,
314,The Bridge School,coppice view road,B73 6UE,-1.876458256,52.55747805,Sutton Coldfield,Mixed,Good
315,The Dame Ellen Pinsent School,ardencote road,B13 0RW,-1.883096123,52.42756488,Kings Heath,Mixed,Outstanding
316,The Deanery Church of England Primary School,fox hollies road,B76 2RD,-1.796576784,52.54270826,Walmley,Mixed,Outstanding
317,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement
318,The Oaklands Primary School,dolphin lane,B27 7BT,-1.8205968369999999,52.44111561,Acocks Green,Mixed,Good
319,The Oaks Primary School,bells lane,B14 5RY,-1.901352909,52.40507034,Druids Heath,Mixed,Good
320,The Oratory Roman Catholic Primary School,oliver road,B16 9ER,-1.9285622669999998,52.47744146,Ladywood,Mixed,Requires improvement
321,The Orchards Primary Academy,rhayader road,B31 1TX,-1.985118965,52.41838862,Northfield,Mixed,Good
322,The Pines Special School,dreghorn road,B36 8LL,-1.802173147,52.50478929999999,,Mixed,Good
323,The Rosary Catholic Primary School,bridge road,B8 3SF,-1.8508271719999998,52.48507364,Saltley,Mixed,Good
324,The Rosary Catholic Primary School,bridge road,B8 3SF,-1.8508271719999998,52.48507364,Saltley,Mixed,
325,The Shirestone Academy,shirestone road,B33 0DH,-1.76808173,52.47966348,Tile Cross,Mixed,Outstanding
326,The University of Birmingham School,weoley park road,B29 6QU,-1.947395669,52.43567389,Selly Oak,Mixed,Good
327,Thornton Primary School,thornton road,B8 2LQ,-1.827979705,52.49082320000001,Ward End,Mixed,Good
328,Timberley Academy,bradley road,B34 7RL,-1.770995887,52.49692988,Shard End,Mixed,Good
329,Tiverton Academy,tiverton road,B29 6BW,-1.9326625590000002,52.44357855,Selly Oak,Mixed,Outstanding
330,Topcliffe Primary School,hawkinge drive,B35 6BS,-1.793760204,52.52071412,Castle Vale,Mixed,Good
331,Town Junior School,ebrook road,B72 1NX,-1.8177611359999999,52.55801642,,Mixed,Good
332,Turves Green Boys' School,turves green,B31 4BS,-1.9703550019999998,52.39863469,Northfield,Boys,Special Measures
333,Turves Green Boys' School,turves green,B31 4BS,-1.9703550019999998,52.39863469,Northfield,Boys,
334,Turves Green Primary School,northfield,B31 4BP,-1.9689360180000002,52.40019411,,Mixed,Good
335,Twickenham Primary School,twickenham road,B44 0NR,-1.866574419,52.54669124,Kingstanding,Mixed,Good
336,Uffculme School,queensbridge road,B13 8QB,-1.893625584,52.43999896,,Mixed,Good
337,Victoria School,bell hill,B31 1LD,-1.970458284,52.42021989,Northfield,Mixed,Outstanding
338,Walmley Infant School,walmley ash road,B76 1JB,-1.790933867,52.53554248,Walmley,Mixed,Good
339,Walmley Junior School,walmley ash road,B76 1JB,-1.790036156,52.53521726,,Mixed,Outstanding
340,Ward End Primary School,ingleton road,B8 2RA,-1.831855426,52.49796679999999,,Mixed,Outstanding
341,Warren Farm Primary School,aylesbury crescent,B44 0DT,-1.8765869119999998,52.54153294,Kingstanding,Mixed,Requires improvement
342,Washwood Heath Academy,burney lane,B8 2AS,-1.819291721,52.49048663,Stechford,Mixed,Good
343,Water Mill Primary School,water mill close,B29 6TS,-1.94712206,52.44556373,Selly Oak,Mixed,Requires improvement
344,Wattville Primary School,wattville road,B21 0DP,-1.957350126,52.50401429,Handsworth,Mixed,Good
345,Waverley School,yardley green road,B9 5QA,-1.82993854,52.47551618,Bordesley Green,Mixed,Good
346,Waverley Studio College,311 yardley green road,B9 5QA,-1.8297163140000001,52.47588444,Bordesley Green,Mixed,Good
347,Welford Primary School,welford road,B20 2BL,-1.920018536,52.50419915,Handsworth,Mixed,Good
348,Welsh House Farm Community School and Special Needs Resources Base,welsh house farm road,B32 2NG,-1.9739535730000002,52.45286348,Quinton,Mixed,Good
349,West Heath Primary School,rednal road,B38 8HU,-1.95498075,52.39978963,West Heath Primary,Mixed,Good
350,Westminster Primary School,stamford road,B20 3PN,-1.908280028,52.50987228,Handsworth,Mixed,Good
351,Wheelers Lane Primary School,wheelers lane,B13 0SF,-1.8876643530000001,52.42857167,Kings Heath,Mixed,Good
352,Wheelers Lane Technology College,wheelers lane,B13 0SF,-1.887980397,52.42922733,Kings Heath,Boys,Outstanding
353,Whitehouse Common Primary School,cotysmore road,B75 6BL,-1.811201883,52.57072683,,Mixed,Good
354,Wilkes Green Infant School (NC),antrobus road,B21 9NT,-1.936348984,52.50946805,Handsworth,Mixed,Special Measures
355,Wilson Stuart School,perry common road,B23 7AT,-1.868150851,52.53234514,Erdington,Mixed,Outstanding
356,Woodcock Hill Primary School,farwood road,B31 1BS,-1.9836438719999998,52.43127116,Northfield,Mixed,Requires improvement
357,Woodgate Primary School,lutley grove,B32 3PN,-2.006191957,52.4372684,Bartley Green,Mixed,Good
358,Woodhouse Primary Academy,woodhouse road,B32 2DL,-1.9835894719999998,52.45976949999999,Quinton,Mixed,Good
359,Woodthorpe Junior and Infant School,greenwood close,B14 6ET,-1.896115859,52.41938707,Kings Heath,Mixed,Outstanding
360,World's End Infant and Nursery School,worlds end lane,B32 2SA,-1.986240178,52.45446573,Quinton,Mixed,Good
361,World's End Junior School,worlds end lane,B32 2SA,-1.9872996569999999,52.45440293,Quinton,Mixed,Good
362,Wychall Primary School,middle field road,B31 3EH,-1.950385501,52.40844528,Northfield,Mixed,Good
363,Wylde Green Primary School,green lanes,B73 5JL,-1.830509445,52.53778121,,Mixed,Good
364,Wyndcliffe Primary School,little green lane,B9 5BG,-1.859206999,52.47554548,Bordesley Green,Mixed,Good
365,Yardley Primary School,harvey road,B26 1TD,-1.81129915,52.46531126,Yardley,Mixed,Good
366,Yardley Wood Community Primary School,school road,B14 4ER,-1.86066141,52.41579957,Yardley Wood,Mixed,Good
367,Yardleys School,reddings lane,B11 3EY,-1.844159721,52.45072336,Tyseley,Mixed,
368,Yarnfield Primary School,yarnfield road,B11 3PJ,-1.8366260819999998,52.44592362,Tyseley,Mixed,Requires improvement
369,Yenton Primary School,chester road,B24 0ED,-1.82381645,52.53026489,Erdington,Mixed,Good
370,Yenton Primary School,chester road,B24 0ED,-1.82381645,52.53026489,Erdington,Mixed,
371,Yew Tree Community Junior and Infant School (NC),yew tree road,B6 6RX,-1.882788259,52.51053307,Aston,Mixed,Good
372,Yorkmead Junior and Infant School,york road,B28 8BB,-1.846372064,52.4407473,Hall Green,Mixed,Good
