,School_Name,STREET,POSTCODE,School_Group,LNG,LAT,LOCALITY,TOWN,SCHSTATUS,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,OFSTEDRATING
161,Lordswood Boys' School,hagley road,B17 8BJ,Secondary,-1.965065321,52.47204583,Harborne,Birmingham,Open,Academy converter,0,1,0,11,16,Boys,
162,Lordswood Girls' School and Sixth Form Centre,knightlow road,B17 8QB,Secondary,-1.964993752,52.46951964,Harborne,Birmingham,Open,Academy converter,0,1,1,11,18,Girls,
163,Lozells Junior and Infant School and Nursery,wheeler street,B19 2EP,Primary,-1.900317096,52.49966226,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
164,Lyndon Green Infant School,wychwood cresent,B26 1LZ,Infants,-1.794753364,52.46022689,Sheldon,Birmingham,Open,Community school,1,0,0,5,7,Mixed,Good
165,Lyndon Green Junior School,wensley road,B26 1LU,Juniors,-1.795704091,52.46054767,Sheldon,Birmingham,Open,Community school,1,0,0,7,11,Mixed,Requires improvement
166,Maney Hill Primary School,maney hill road,B72 1JU,Primary,-1.816110367,52.55066021,,Sutton Coldfield,Open,Community school,1,0,0,4,11,Mixed,Good
167,Mansfield Green E-ACT Academy,albert road,B6 5NH,Primary,-1.897648925,52.50366772,Aston,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Outstanding
168,Mapledene Primary School,mapledene road,B26 3XE,Primary,-1.766245336,52.45942344,,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
169,Marlborough Infant School,marlborough road,B10 9NY,Infants,-1.849361078,52.47381912,Small Heath,Birmingham,Closed,Community school,1,0,0,3,7,Mixed,Requires improvement
170,Marlborough Junior School,green lane,B10 9NY,Juniors,-1.849374904,52.47414313,Small Heath,Birmingham,Closed,Community school,1,0,0,7,11,Mixed,Requires improvement
171,Marlborough Junior School,green lane,B10 9NY,Juniors,-1.849374904,52.47414313,Small Heath,Birmingham,Closed,Academy converter,1,0,0,7,11,Mixed,
172,Marsh Hill Primary School,marsh hill,B23 7HY,Primary,-1.867892287,52.52517091,Erdington,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
173,Maryvale Catholic Primary School,old oscott hill,B44 9AG,Primary,-1.892097379,52.54795779,Kingstanding,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
174,Mayfield School,heathfield road,B19 1HJ,Special,-1.909984036,52.50511784,Lozells,Birmingham,Closed,Community special school,1,1,1,3,19,Mixed,Serious Weaknesses
175,Mayfield School,heathfield road,B19 1HJ,Special,-1.909984036,52.50511784,Lozells,Birmingham,Open,Academy special sponsor led,1,1,1,3,19,Mixed,
176,Mere Green Primary School,mere green road,B75 5BL,Primary,-1.828115194,52.58840852,,Sutton Coldfield,Open,Academy converter,1,0,0,3,11,Mixed,Outstanding
177,Merritts Brook Primary E-ACT Academy,trescott road,B31 5QD,Primary,-1.992028049,52.41090413,Northfield,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
178,Minworth Junior and Infant School,water orton lane,B76 9BU,Primary,-1.768594859,52.52785052,Minworth,SUTTON COLDFIELD,Open,Community school,1,0,0,4,11,Mixed,Good
179,Montgomery Primary Academy,white road,B11 1EH,Primary,-1.865647876,52.46352438,Sparkbrook,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
180,Moor Hall Primary School,rowallan road,B75 6RE,Primary,-1.814916328,52.58642891,,Sutton Coldfield,Open,Foundation school,1,0,0,5,11,Mixed,Outstanding
181,Moseley Church of England Primary School,oxford road,B13 9EH,Primary,-1.88437922,52.44305593,Moseley,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Outstanding
182,Nansen Primary School,naseby road,B8 3HG,Primary,-1.844708302,52.49143963,,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Special Measures
183,Nechells Primary E-ACT Academy,eliot street,B7 5LB,Primary,-1.86321176,52.50402136,Nechells,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
184,Nelson Junior and Infant School,king edward's road,B1 2PJ,Primary,-1.916688433,52.4810747,Ladywood,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
185,Nelson Mandela School,colville road,B12 8EH,Primary,-1.874558051,52.45642312,Sparkbrook,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Outstanding
186,New Oscott Primary School,markham road,B73 6QR,Primary,-1.863893773,52.55521955,,Sutton Coldfield,Open,Community school,1,0,0,3,11,Mixed,Good
187,Nishkam High School,great king street north,B19 2LF,Secondary,-1.907410842,52.4957035,,Birmingham,Open,Free schools,0,1,1,11,19,Mixed,Outstanding
188,Nishkam Primary School Birmingham,1-7 soho road,B21 9SN,Primary,-1.924178668,52.50094746,Handsworth,Birmingham,Open,Free schools,1,0,0,4,11,Mixed,Outstanding
189,Nonsuch Primary School,wood leasow,B32 3SE,Primary,-1.992893225,52.44426269,Woodgate Valley,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
190,North Birmingham Academy,395 college road,B44 0HF,Secondary,-1.874650497,52.53388497,,Birmingham,Open,Academy sponsor led,0,1,1,11,19,Mixed,Good
191,Northfield Manor Primary Academy,swarthmore road,B29 4JT,Primary,-1.962039473,52.4296211,Selly Oak,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,Good
192,Oasis Academy Blakenhale Infants,blakenhale road,B33 0XD,Infants,-1.782376416,52.47416172,Garrett's Green,Birmingham,Open,Academy sponsor led,1,0,0,3,7,Mixed,Good
193,Oasis Academy Blakenhale Junior,homestead road,B33 0XG,Juniors,-1.782807123,52.47338942,Garretts Green,Birmingham,Open,Academy sponsor led,1,0,0,7,11,Mixed,Good
194,Oasis Academy Boulton,boulton road,B21 0RE,Primary,-1.938511274,52.50148617,,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
195,Oasis Academy Foundry,foundry road,B18 4LP,Primary,-1.941540624,52.49429575,,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
196,Oasis Academy Hobmoor,wash lane,B25 8FD,Primary,-1.819637041,52.4672355,Yardley,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
197,Oasis Academy Short Heath,streetly road,B23 5JP,Primary,-1.858607388,52.53411418,Erdington,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
198,Oasis Academy Woodview,woodview drive,B15 2HU,Primary,-1.905836751,52.46714116,Edgbaston,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,Requires improvement
199,Osborne Primary School,station road,B23 6UB,Primary,-1.838258772,52.5272828,Erdington,Birmingham,Closed,Community school,1,0,0,5,11,Mixed,Serious Weaknesses
200,Osborne Primary School,station road,B23 6UB,Primary,-1.838258772,52.5272828,Erdington,Birmingham,Open,Academy sponsor led,1,0,0,5,11,Mixed,
201,Oscott Manor School,old oscott hill,B44 9SP,Special,-1.892453557,52.54704114,Erdington,Birmingham,Open,Community special school,0,1,1,11,19,Mixed,Good
202,Our Lady and St Rose of Lima Catholic Primary School,gregory avenue,B29 5DY,Primary,-1.962595445,52.43599689,Weoley Castle,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
203,Our Lady of Fatima Catholic Primary School,winchfield drive,B17 8TR,Primary,-1.97594739,52.46674442,Harborne,Birmingham,Open,Academy converter,1,0,0,5,11,Mixed,
204,Our Lady's Catholic Primary School,east meadway,B33 0AU,Primary,-1.769066151,52.48006094,Tile Cross,Birmingham,Closed,Voluntary aided school,1,0,0,4,11,Mixed,Good
205,Our Lady's Catholic Primary School,east meadway,B33 0AU,Primary,-1.769066151,52.48006094,Tile Cross,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,
206,Paganel Primary School,swinford road,B29 5TG,Primary,-1.968618165,52.44417783,Selly Oak,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
207,Paget Primary School,paget road,B24 0JP,Primary,-1.817792585,52.52187717,Pype Hayes,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Requires improvement
208,Park Hill Primary School,alcester road,B13 8BB,Primary,-1.887963911,52.45085373,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
209,Parkfield Community School,parkfield road,B8 3AX,Primary,-1.849486384,52.48528773,Saltley,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Outstanding
210,Penns Primary School,berwood road,B72 1BS,Primary,-1.816508475,52.53295971,,Sutton Coldfield,Open,Community school,1,0,0,5,11,Mixed,Good
211,Percy Shurmer Academy,longmore street,B12 9ED,Primary,-1.891669425,52.46389262,Balsall Heath,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
212,Plantsbrook School,upper holland road,B72 1RB,Secondary,-1.818569584,52.55870986,,Sutton Coldfield,Open,Academy converter,0,1,1,11,18,Mixed,Good
213,Priestley Smith School,"perry beeches campus, beeches road",B42 2PY,Special,-1.90767078,52.54052728,Beeches Road,Birmingham,Open,Community special school,1,1,1,2,19,Mixed,Outstanding
214,Prince Albert Junior and Infant School,albert road,B6 5NH,Primary,-1.893220666,52.50420504,Aston,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,
215,Princethorpe Infant School,princethorpe road,B29 5QB,Infants,-1.96878568,52.43603291,Weoley Castle,Birmingham,Open,Academy converter,1,0,0,3,7,Mixed,Good
216,Princethorpe Junior School,princethorpe road,B29 5QB,Juniors,-1.969064897,52.43633864,Weoley Castle,Birmingham,Closed,Community school,1,0,0,7,11,Mixed,Special Measures
217,Princethorpe Junior School,princethorpe road,B29 5QB,Juniors,-1.969064897,52.43633864,Weoley Castle,Birmingham,Open,Academy sponsor led,1,0,0,7,11,Mixed,
218,Queensbridge School,queensbridge road,B13 8QB,Secondary,-1.893402295,52.44110458,Moseley,Birmingham,Open,Foundation school,0,1,0,11,16,Mixed,Outstanding
219,Queensbury School,wood end road,B24 8BL,Special,-1.840330605,52.51684835,Erdington,Birmingham,Closed,Community special school,0,1,1,11,19,Mixed,Serious Weaknesses
220,Queensbury School,wood end road,B24 8BL,Special,-1.840330605,52.51684835,,Birmingham,Open,Academy special sponsor led,0,1,1,11,19,Mixed,
221,Quinton Church Primary School,hagley road west,B32 1AJ,Primary,-2.00931553,52.46077706,Quinton,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,Good
222,Raddlebarn Primary School,gristhorpe road,B29 7TD,Primary,-1.927656822,52.43681517,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
223,Reaside Academy,tresco close,B45 0HY,Juniors,-2.02591734,52.40162556,Frankley,Birmingham,Open,Academy sponsor led,1,0,0,7,11,Mixed,Good
224,Rednal Hill Infant School,irwin avenue,B45 8QY,Infants,-2.000292693,52.39159913,Rednal,Birmingham,Open,Community school,1,0,0,3,7,Mixed,Good
225,Rednal Hill Junior School,irwin avenue,B45 8QY,Juniors,-2.001497602,52.39129345,Rednal,Birmingham,Open,Community school,1,0,0,7,11,Mixed,Requires improvement
226,Regents Park Community Primary School,arthur street,B10 0NJ,Primary,-1.868966801,52.47103474,Small Heath,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
227,Robin Hood Academy,pitmaston road,B28 9PP,Primary,-1.831570133,52.42596555,Hall Green,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
228,Rockwood Academy,naseby road,B8 3HG,Secondary,-1.846513582,52.49086293,Alum Rock,Birmingham,Open,Academy converter,0,1,0,11,16,Mixed,Good
229,Rookery School,rookery road,B21 9PY,Primary,-1.938836771,52.51108752,Handsworth,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
230,Sacred Heart Catholic School,earlsbury gardens,B20 3AE,Primary,-1.900972748,52.5094618,Birchfield,Birmingham,Closed,Voluntary aided school,1,0,0,4,11,Mixed,Special Measures
231,Sacred Heart Catholic School,earlsbury gardens,B20 3AE,Primary,-1.900972748,52.5094618,Birchfield,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,
232,Saint Barnabas Church of England Primary School,spring lane,B24 9BY,Primary,-1.832387345,52.52081995,Erdington,Birmingham,Closed,Voluntary aided school,1,0,0,3,11,Mixed,Good
233,Saint Barnabas Church of England Primary School,spring lane,B24 9BY,Primary,-1.832387345,52.52081995,Erdington,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,
234,Saltley Academy,belchers lane,B9 5RX,Secondary,-1.831997154,52.48395163,Bordesley Green,Birmingham,Open,Academy sponsor led,0,1,0,11,16,Mixed,Good
235,Selly Oak Trust School,oak tree lane,B29 6HZ,Special,-1.938279535,52.43510401,Selly Oak,Birmingham,Open,Foundation special school,1,1,1,11,19,Mixed,Good
236,Severne Junior Infant and Nursery School,severne road,B27 7HR,Primary,-1.821935165,52.43388965,Acocks Green,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
237,Shaw Hill Primary School,anthony road,B8 3AN,Primary,-1.84491418,52.48775849,Alum Rock,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Outstanding
238,Shenley Academy,shenley lane,B29 4HE,Secondary,-1.976908438,52.42988562,,Birmingham,Open,Academy sponsor led,0,1,1,11,19,Mixed,Good
239,Skilts School,gorcott hill,B98 9ET,Special,-1.862789039,52.30785745,Beoley,Redditch,Closed,Community special school,1,1,0,5,14,Boys,Requires improvement
240,Slade Primary School,slade road,B23 7PX,Primary,-1.858009896,52.51362551,Erdington,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
241,Sladefield Infant School,bamville road,B8 2TJ,Infants,-1.832318355,52.49241164,Ward End,Birmingham,Open,Community school,1,0,0,5,7,Mixed,Outstanding
242,Somerville Primary (NC) School,somerville road,B10 9EN,Primary,-1.855129226,52.47093776,Small Heath,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
243,Springfield House Community Special School,kenilworth road,B93 0AJ,Special,-1.704616905,52.38340948,Knowle,Solihull,Open,Community special school,1,0,0,4,11,Mixed,Special Measures
244,Springfield Primary School,springfield road,B13 9NY,Primary,-1.858578272,52.44333453,Moseley,Birmingham,Closed,Community school,1,0,0,2,11,Mixed,Special Measures
245,St Alban's Catholic Primary School,broad lane,B14 5AL,Primary,-1.888643849,52.41454359,Kings Heath,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
246,St Ambrose Barlow Catholic Primary School,shirley road,B28 9JJ,Primary,-1.835281231,52.42458625,Hall Green,Birmingham,Open,Voluntary aided school,1,0,0,5,11,Mixed,Outstanding
247,St Anne's Catholic Primary School,lowe street,B12 0ER,Primary,-1.879626527,52.47042573,,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
248,St Augustine's Catholic Primary School,avenue road,B21 8ED,Primary,-1.945124575,52.51421369,Handsworth,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
249,St Bernadette's Catholic Primary School,hobmoor road,B25 8QL,Primary,-1.827679569,52.46886476,Yardley,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
250,St Bernard's Catholic Primary School,wake green road,B13 9QE,Primary,-1.861403749,52.43697205,Moseley,Birmingham,Open,Voluntary aided school,1,0,0,5,11,Mixed,Good
251,St Brigid's Catholic Primary School,frankley beeches road,B31 5AB,Primary,-1.97625378,52.41081758,Northfield,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
252,St Catherine of Siena Catholic Primary School,great colmore street,B15 2AY,Primary,-1.901204073,52.47188409,Lee Bank,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Outstanding
253,St Chad's Catholic Primary School,hospital street,B19 3XD,Primary,-1.901128688,52.49247997,Newtown,Birmingham,Closed,Voluntary aided school,1,0,0,4,11,Mixed,Good
254,St Chad's Catholic Primary School,hospital street,B19 3XD,Primary,-1.901128688,52.49247997,Newtown,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,
255,St Clare's Catholic Primary School,robert road,B20 3RT,Primary,-1.913200769,52.51009168,Handsworth,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Requires improvement
256,St Clement's Church of England Academy,butlin street,B7 5NS,Primary,-1.867908122,52.50017902,Nechells,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
257,St Columba's Catholic Primary School,lickey road,B45 8TD,Primary,-1.990946288,52.39469141,Rednal,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,Good
258,St Cuthbert's RC Junior and Infant (NC) School,gumbleberrys close,B8 2PS,Primary,-1.818572949,52.48620637,Off Cotterills Lane,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
259,St Dunstan's Catholic Primary School,drayton road,B14 7LP,Primary,-1.889805374,52.43225512,Kings Heath,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
260,St Edmund Campion Catholic School & Sixth Form Centre,sutton road,B23 5XA,Secondary,-1.830641236,52.53033774,Erdington,Birmingham,Closed,Voluntary aided school,0,1,1,11,18,Mixed,Good
261,St Edmund's Catholic Primary School,rosebery street,B18 7PA,Primary,-1.923215869,52.48701248,Springhill,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Requires improvement
262,St Edward's Catholic Primary School,greenland road,B29 7PN,Primary,-1.919052642,52.43869931,Selly Park,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
263,St Francis Catholic Primary School,nursery road,B19 1PH,Primary,-1.914226566,52.49775827,Handsworth,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
264,St Francis Church of England Aided Primary School and Nursery,teazel avenue,B30 1LZ,Primary,-1.945619135,52.42331272,Bournville,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
265,"St George's Church of England Academy, Newtown",st george's street,B19 3QY,Primary,-1.903209975,52.49036911,,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,Good
266,St George's Church of England Primary School,beaufort road,B16 8HY,Primary,-1.928480814,52.47315326,,Birmingham,Open,Academy sponsor led,1,0,0,5,11,Mixed,Good
267,St Gerard's RC Junior and Infant School,yatesbury avenue,B35 6LB,Primary,-1.786632534,52.52263432,Castle Vale,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
268,St James Catholic Primary School,leach heath lane,B45 9BN,Primary,-2.011886903,52.39231768,Rednal,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,
269,"St James Church of England Primary School, Handsworth",sandwell road,B21 8NH,Primary,-1.949198786,52.50786504,,Birmingham,Open,Voluntary controlled school,1,0,0,4,11,Mixed,Good
270,St John and Monica Catholic Primary School,chantry road,B13 8DW,Primary,-1.894424539,52.45042808,Moseley,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
271,St John Fisher Catholic Primary School,alvechurch road,B31 3PN,Primary,-1.959777632,52.39367813,West Heath,Birmingham,Closed,Voluntary aided school,1,0,0,4,11,Mixed,Good
272,St John Fisher Catholic Primary School,alvechurch road,B31 3PN,Primary,-1.959777632,52.39367813,West Heath,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,
273,St John's CofE Primary School,stratford road,B11 4EA,Primary,-1.864572125,52.44950781,Sparkhill,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Outstanding
274,St Jude's Catholic Primary School,st jude's close,B14 5PD,Primary,-1.889394385,52.40538522,Maypole,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
275,St Laurence Church Infant School,bunbury road,B31 2DJ,Infants,-1.964449482,52.41436435,Northfield,Birmingham,Open,Voluntary aided school,1,0,0,4,7,Mixed,Good
276,St Laurence Church Junior School,bunbury road,B31 2DJ,Juniors,-1.962787109,52.41488664,Northfield,Birmingham,Open,Voluntary aided school,1,0,0,7,11,Mixed,Good
277,St Margaret Mary RC Junior and Infant School,perry common road,B23 7AB,Primary,-1.863784443,52.53329313,,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
278,St Mark's Catholic Primary School,almond croft,B42 1NU,Primary,-1.928632268,52.53450055,Old Walsall Road,Birmingham,"Open, but proposed to close",Voluntary aided school,1,0,0,4,11,Mixed,Outstanding
279,St Martin de Porres Catholic Primary School,oakland road,B13 9DN,Primary,-1.881792286,52.4477282,Moseley,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
280,St Mary and St John Junior and Infant School,beaufort road,B23 7NB,Primary,-1.848274433,52.51660705,Erdington,Birmingham,Closed,Voluntary aided school,1,0,0,3,11,Mixed,Special Measures
281,St Mary and St John Junior and Infant School,beaufort road,B23 7NB,Primary,-1.848274433,52.51660705,Erdington,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,
282,St Mary's Catholic Primary School,vivian road,B17 0DN,Primary,-1.95215373,52.45649592,Harborne,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Outstanding
283,St Mary's Church of England Primary School,lodge hill road,B29 6NU,Primary,-1.943054963,52.43908002,Selly Oak,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
284,"St Marys C of E Primary and Nursery, Academy, Handsworth",hamstead road,B20 2RW,Primary,-1.919416557,52.51119287,Handsworth,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
285,St Matthew's CofE Primary School,duddeston manor road,B7 4JR,Primary,-1.878279441,52.48919542,Nechells,Birmingham,Open,Voluntary controlled school,1,0,0,4,11,Mixed,Outstanding
286,"St Michael's CofE Primary Academy, Handsworth",piers road,B21 0UX,Primary,-1.924812579,52.5006512,Handsworth,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,Requires improvement
287,St Nicholas Catholic Primary School,jockey road,B73 5US,Primary,-1.839842593,52.54980462,,Sutton Coldfield,Open,Academy converter,1,0,0,4,11,Mixed,
288,St Patrick's Catholic Primary School,dudley road,B18 7QW,Primary,-1.931640445,52.48626241,,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
289,St Paul's Catholic Primary School,sisefield road,B38 9JB,Primary,-1.924628276,52.40118575,Kings Norton,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
290,St Paul's School for Girls,vernon road,B16 9SL,Secondary,-1.940770332,52.47556927,Edgbaston,Birmingham,Open,Voluntary aided school,0,1,1,11,18,Girls,Outstanding
291,St Peter and St Paul RC Junior and Infant School,kingsbury road,B24 9ND,Primary,-1.823982485,52.51820064,Erdington,Birmingham,Closed,Voluntary aided school,1,0,0,4,11,Mixed,Good
292,St Peter and St Paul RC Junior and Infant School,kingsbury road,B24 9ND,Primary,-1.823982485,52.51820064,Erdington,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,
293,St Peter's Catholic Primary School,adams hill,B32 3QD,Primary,-1.99977399,52.43631834,Bartley Green,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Outstanding
294,St Peters CofE Primary School,old church road,B17 0BE,Primary,-1.958211269,52.45423508,Harborne,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
295,St Saviour's C of E Primary School,alum rock road,B8 1JB,Primary,-1.857447497,52.49157256,Saltley,Birmingham,Open,Voluntary controlled school,1,0,0,5,11,Mixed,Good
296,St Teresa's Catholic Primary School,butlers road,B20 2NY,Primary,-1.922928262,52.51684086,Handsworth Wood,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
297,St Thomas Aquinas Catholic School,wychall lane,B38 8AP,Secondary,-1.94732598,52.41004419,Kings Norton,Birmingham,Open,Academy converter,0,1,1,11,18,Mixed,Good
298,St Thomas More Catholic Primary School,horse shoes lane,B26 3HU,Primary,-1.782846783,52.45635347,Sheldon,Birmingham,Closed,Voluntary aided school,1,0,0,4,11,Mixed,Serious Weaknesses
299,St Thomas More Catholic Primary School,horse shoes lane,B26 3HU,Primary,-1.782846783,52.45635347,,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,
300,St Vincent's Catholic Primary School,vauxhall grove,B7 4HP,Primary,-1.875316039,52.48510191,Vauxhall,BIRMINGHAM,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
301,St Wilfrid's Catholic Junior and Infant School,shawsdale road,B36 8LY,Primary,-1.800389702,52.50495707,,Birmingham,Closed,Voluntary aided school,1,0,0,3,11,Mixed,Good
302,St Wilfrid's Catholic Junior and Infant School,shawsdale road,B36 8LY,Primary,-1.800389702,52.50495707,,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,
303,Stanville Primary School,stanville road,B26 3YN,Primary,-1.779181737,52.46236998,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
304,Starbank School,starbank road,B10 9LR,All Through,-1.832756696,52.47000031,,Birmingham,Open,Academy sponsor led,1,1,0,3,16,Mixed,
305,Stechford Primary School,albert road,B33 8SJ,Primary,-1.813152325,52.47958134,Stechford,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
306,Stirchley Primary School,pershore road,B30 2JL,Primary,-1.923159392,52.42612319,Stirchley,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
307,Stockland Green School,slade road,B23 7JH,Secondary,-1.861855224,52.5232402,Erdington,Birmingham,Open,Academy converter,0,1,0,11,16,Mixed,Good
308,Summerfield Junior and Infant School,cuthbert road,B18 4AH,Primary,-1.939662936,52.48874799,Winson Green,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Requires improvement
309,Sundridge Primary School,sundridge road,B44 9NY,Primary,-1.896203306,52.55777834,Kingstanding,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Requires improvement
310,Sutton Coldfield Grammar School for Girls,jockey road,B73 5PT,Secondary,-1.829826518,52.55428557,,Sutton Coldfield,Open,Academy converter,0,1,1,11,18,Girls,
311,Swanshurst School,brook lane,B13 0TW,Secondary,-1.874183805,52.42967285,Billesley,Birmingham,Open,Community school,0,1,1,11,19,Girls,Outstanding
312,Tame Valley Academy,chillinghome road,B36 8QJ,Primary,-1.814569987,52.50663432,,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
313,The Arthur Terry School,kittoe road,B74 4RZ,Secondary,-1.836193458,52.58964437,Four Oaks,Sutton Coldfield,Open,Academy converter,0,1,1,11,18,Mixed,
314,The Bridge School,coppice view road,B73 6UE,Special,-1.876458256,52.55747805,Sutton Coldfield,Birmingham,Open,Academy special converter,1,0,0,2,11,Mixed,Good
315,The Dame Ellen Pinsent School,ardencote road,B13 0RW,Special,-1.883096123,52.42756488,Kings Heath,Birmingham,Open,Foundation special school,1,0,0,5,11,Mixed,Outstanding
316,The Deanery Church of England Primary School,fox hollies road,B76 2RD,Primary,-1.796576784,52.54270826,Walmley,Sutton Coldfield,Open,Academy converter,1,0,0,2,11,Mixed,Outstanding
317,The Meadows Primary School,bristol road south,B31 2SW,Primary,-1.982036885,52.40412101,Northfield,Birmingham,Open,Community school,1,0,0,5,11,Mixed,Requires improvement
318,The Oaklands Primary School,dolphin lane,B27 7BT,Primary,-1.820596837,52.44111561,Acocks Green,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
319,The Oaks Primary School,bells lane,B14 5RY,Primary,-1.901352909,52.40507034,Druids Heath,Birmingham,Open,Community school,1,0,0,2,11,Mixed,Good
320,The Oratory Roman Catholic Primary School,oliver road,B16 9ER,Primary,-1.928562267,52.47744146,Ladywood,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Requires improvement
321,The Orchards Primary Academy,rhayader road,B31 1TX,Primary,-1.985118965,52.41838862,Northfield,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
322,The Pines Special School,dreghorn road,B36 8LL,Special,-1.802173147,52.5047893,,Birmingham,Open,Foundation special school,1,1,0,3,16,Mixed,Good
