,School_Name,STREET,POSTCODE,School_Group,LNG,LAT,LOCALITY,TOWN,SCHSTATUS,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,OFSTEDRATING
37,Boldmere Infant School and Nursery,cofield road,B73 5SD,Infants,-1.844639598,52.54445304,,Sutton Coldfield,Open,Community school,1,0,0,3,7,Mixed,Outstanding
38,Boldmere Junior School,cofield road,B73 5SD,Juniors,-1.843797949,52.54478456,Boldmere,Sutton Coldfield,Open,Community school,1,0,0,7,11,Mixed,Outstanding
39,Bordesley Green Girls' School & Sixth Form,bordesley green road,B9 4TR,Secondary,-1.854168703,52.48096939,,Birmingham,Open,Community school,0,1,1,11,18,Girls,Requires improvement
40,Bordesley Green Primary School,marchmont road,B9 5XX,Primary,-1.838996237,52.47867532,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
41,Bournville Infant School,linden road,B30 1JY,Infants,-1.93655255,52.42907081,,Birmingham,Closed,Voluntary aided school,1,0,0,5,7,Mixed,Outstanding
42,Braidwood School for the Deaf,bromford road,B36 8AF,Special,-1.819994226,52.50236631,,Birmingham,Open,Foundation special school,0,1,1,11,19,Mixed,Good
43,Brays School,brays road,B26 1NS,Special,-1.794517955,52.45926006,Sheldon,Birmingham,Open,Academy special converter,1,0,0,2,11,Mixed,Outstanding
44,Broadmeadow Infant School,monyhull hall road,B30 3QJ,Infants,-1.914413515,52.40865849,Kings Norton,Birmingham,Open,Community school,1,0,0,3,7,Mixed,Good
45,Broadmeadow Junior School,monyhull hall road,B30 3QJ,Juniors,-1.915134214,52.40846128,Kings Norton,Birmingham,Open,Community school,1,0,0,7,11,Mixed,Good
46,Broadway Academy,the broadway,B20 3DP,Secondary,-1.895586528,52.51303523,Perry Barr,Birmingham,Open,Academy converter,0,1,1,11,18,Mixed,Good
47,Brookfields Primary School,2 hingeston street,B18 6PU,Primary,-1.918292188,52.48968815,Hockley,Birmingham,Closed,Community school,1,0,0,3,11,Mixed,Serious Weaknesses
48,Brookfields Primary School,2 hingeston street,B18 6PU,Primary,-1.918292188,52.48968815,Hockley,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,
49,Brookvale Primary School,mallard drive,B23 7YB,Primary,-1.871220522,52.52108416,Erdington,Birmingham,Open,Academy converter,1,0,0,5,11,Mixed,Good
50,Brownmead Primary Academy,pencroft road,B34 6SS,Primary,-1.780870856,52.49868365,Shard End,Birmingham,Open,Academy sponsor led,1,0,0,5,11,Mixed,Good
51,Calshot Primary School,calshot road,B42 2BY,Primary,-1.917487051,52.5424044,Great Barr,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
52,Canterbury Cross Primary School,canterbury road,B20 3AA,Primary,-1.899817231,52.51223873,Birchfield,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
53,Chad Vale Primary School,nursery road,B15 3JU,Primary,-1.945466009,52.46421719,Edgbaston,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
54,Chandos Primary School,vaughton street south,B12 0YN,Primary,-1.891439814,52.46750642,Highgate,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
55,Cherry Oak School,60 frederick road,B29 6PB,Special,-1.94244943,52.44090472,Selly Oak,Birmingham,Open,Community special school,1,0,0,3,11,Mixed,Requires improvement
56,Cherry Orchard Primary School,cherry orchard road,B20 2LB,Primary,-1.921095052,52.52016587,Handsworth Wood,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
57,Chilcote Primary School,chilcote close,B28 0PB,Primary,-1.843677482,52.41644364,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Outstanding
58,Chilwell Croft Academy,chilwell croft,B19 2QH,Primary,-1.897321722,52.49549739,Newtown,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,Good
59,Chivenor Primary School,farnborough road,B35 7JA,Primary,-1.791426702,52.51551382,Castle Vale,Birmingham,Open,Academy sponsor led,1,0,0,5,11,Mixed,Good
60,Christ Church CofE Controlled Primary School and Nursery,claremont road,B11 1LF,Primary,-1.87434511,52.46402841,Sparkbrook,Birmingham,Open,Voluntary controlled school,1,0,0,3,11,Mixed,Outstanding
61,Christ The King Catholic Primary School,warren farm road,B44 0QN,Primary,-1.87674419,52.54328608,Kingstanding,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Outstanding
62,City Road Primary School,cavendish road,B16 0HL,Primary,-1.944725739,52.48447659,,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,
63,Clifton Primary School,brunswick road,B12 8NX,Primary,-1.877598701,52.45630487,Balsall Heath,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
64,Cofton Primary School,wootton road,B31 4ST,Primary,-1.968185974,52.39004863,West Heath,Birmingham,Open,Foundation school,1,0,0,4,11,Mixed,Good
65,Colebourne Primary School,stechford road,B34 6BJ,Primary,-1.807085803,52.49312847,Hodge Hill,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
66,Colmers School and Sixth Form College,bristol road south,B45 9NY,Secondary,-2.003320103,52.39631887,Rednal,Birmingham,Open,Foundation school,0,1,1,11,19,Mixed,Good
67,Colmore Infant and Nursery School,colmore road,B14 6AJ,Infants,-1.900244216,52.42749058,Kings Heath,Birmingham,Open,Community school,1,0,0,3,7,Mixed,Outstanding
68,Colmore Junior School,colmore road,B14 6AJ,Juniors,-1.899993049,52.42799384,Kings Heath,Birmingham,Open,Community school,1,0,0,7,11,Mixed,Good
69,Conway Primary School,conway road,B11 1NS,Primary,-1.868514203,52.45984168,Sparkbrook,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
70,Coppice Primary School,trinity road,B75 6TJ,Primary,-1.824663435,52.58045651,Four Oaks,Sutton Coldfield,Open,Foundation school,1,0,0,5,11,Mixed,Good
71,Corpus Christi Catholic Primary School,lyttelton road,B33 8BL,Primary,-1.812558757,52.48065018,Stechford,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
72,Cottesbrooke Infant and Nursery School,yardley road,B27 6LG,Infants,-1.817371949,52.45255494,Acocks Green,Birmingham,Open,Academy converter,1,0,0,3,7,Mixed,Good
73,Court Farm Primary School,tedbury crescent,B23 5NS,Primary,-1.85361097,52.5337755,Erdington,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
74,Deykin Avenue Junior and Infant School,deykin avenue,B6 7BU,Primary,-1.87563195,52.51414867,Witton,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Requires improvement
75,Dorrington Academy,dorrington road,B42 1QR,Primary,-1.922905587,52.52984919,Perry Barr,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Outstanding
76,Elms Farm Community Primary School,dorncliffe avenue,B33 0PJ,Primary,-1.773243147,52.46377914,Sheldon,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
77,English Martyrs' Catholic Primary School,evelyn road,B11 3JW,Primary,-1.863684623,52.45102603,Sparkhill,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Outstanding
78,Erdington Hall Primary School,ryland road,B24 8JJ,Primary,-1.841262472,52.51179728,Erdington,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
79,Fairfax,fairfax road,B75 7JT,Secondary,-1.79769983,52.56144499,,Sutton Coldfield,Open,Academy converter,0,1,1,11,18,Mixed,Good
80,Featherstone Primary School,glenville drive,B23 6PR,Primary,-1.850645978,52.52559999,,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
81,Firs Primary School,dreghorn road,B36 8LL,Primary,-1.803003521,52.50424318,Castle Bromwich,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Requires improvement
82,Forestdale Primary School,wareham road,B45 0JS,Primary,-2.004953377,52.40754312,Frankley,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Requires improvement
83,Four Dwellings Academy,dwellings lane,B32 1RJ,Secondary,-2.003633981,52.45506876,,Birmingham,Open,Academy sponsor led,0,1,0,11,16,Mixed,Good
84,Four Dwellings Primary Academy,quinton road west,B32 1PJ,Primary,-2.000755604,52.45484585,Quinton,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Requires improvement
85,Four Oaks Primary School,edge hill road,B74 4PA,Primary,-1.852194948,52.5955609,Four Oaks,Sutton Coldfield,Open,Foundation school,1,0,0,4,11,Mixed,Outstanding
86,Fox Hollies School and Performing Arts College,highbury community campus,B13 8QB,Special,-1.893093988,52.44084358,Queensbridge Road,Birmingham,Open,Foundation special school,0,1,1,11,19,Mixed,Outstanding
87,George Dixon Academy,portland road,B16 9GD,Secondary,-1.956537203,52.47665491,Edgbaston,Birmingham,Open,Academy converter,0,1,1,11,18,Mixed,Good
88,George Dixon Primary School,city road,B17 8LE,Primary,-1.957273539,52.4764304,Edgbaston,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Requires improvement
89,Gilbertstone Primary School,clay lane,B26 1EH,Primary,-1.809063871,52.45461857,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
