,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING,price_paid,postcode,property_type,new_build,estate_type,street
207,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,105000,B31 2SU,F,N,L,bristol road south
208,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,115000,B31 2TD,F,N,L,bristol road south
209,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,242500,B31 2TH,S,N,F,bristol road south
210,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,168500,B45 9QB,T,N,F,bristol road south
211,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,55000,B45 9TY,F,N,L,bristol road south
212,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,69500,B45 9TY,F,N,L,bristol road south
213,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,1075000,B31 2FR,O,N,L,bristol road south
214,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,310000,B31 2JS,D,N,L,bristol road south
215,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,405000,B31 2NG,O,N,F,bristol road south
216,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,65000,B31 2NN,O,N,L,bristol road south
217,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,65000,B31 2NN,F,N,L,bristol road south
218,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,460000,B31 2PA,O,N,F,bristol road south
219,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,105000,B31 2SU,F,N,L,bristol road south
220,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,115000,B31 2TD,F,N,L,bristol road south
221,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,242500,B31 2TH,S,N,F,bristol road south
222,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,168500,B45 9QB,T,N,F,bristol road south
223,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,55000,B45 9TY,F,N,L,bristol road south
224,The Meadows Primary School,bristol road south,B31 2SW,-1.982036885,52.40412101,Northfield,Mixed,Requires improvement,69500,B45 9TY,F,N,L,bristol road south
225,Colmore Infant and Nursery School,colmore road,B14 6AJ,-1.900244216,52.42749058,Kings Heath,Mixed,Outstanding,440000,B14 6AJ,S,N,F,colmore road
226,Colmore Junior School,colmore road,B14 6AJ,-1.899993049,52.42799384,Kings Heath,Mixed,Good,440000,B14 6AJ,S,N,F,colmore road
227,Conway Primary School,conway road,B11 1NS,-1.8685142030000002,52.45984168,Sparkbrook,Mixed,Good,188000,B37 5LB,S,N,F,conway road
228,Conway Primary School,conway road,B11 1NS,-1.8685142030000002,52.45984168,Sparkbrook,Mixed,Good,155000,B37 5LD,T,N,F,conway road
229,Conway Primary School,conway road,B11 1NS,-1.8685142030000002,52.45984168,Sparkbrook,Mixed,Good,149000,B37 5LH,T,N,F,conway road
230,Coppice Primary School,trinity road,B75 6TJ,-1.824663435,52.58045651,Four Oaks,Mixed,Good,184000,B6 6LT,T,N,F,trinity road
231,Langley School,trinity road,B75 6TJ,-1.8255111240000002,52.58009953,,Mixed,Good,184000,B6 6LT,T,N,F,trinity road
232,Cottesbrooke Infant and Nursery School,yardley road,B27 6LG,-1.817371949,52.45255494,Acocks Green,Mixed,Good,226000,B25 8LT,T,N,F,yardley road
233,Cottesbrooke Infant and Nursery School,yardley road,B27 6LG,-1.817371949,52.45255494,Acocks Green,Mixed,Good,170000,B25 8NA,T,N,F,yardley road
234,Cottesbrooke Infant and Nursery School,yardley road,B27 6LG,-1.817371949,52.45255494,Acocks Green,Mixed,Good,220000,B27 6LR,T,N,F,yardley road
235,Cottesbrooke Infant and Nursery School,yardley road,B27 6LG,-1.817371949,52.45255494,Acocks Green,Mixed,Good,148000,B27 6LR,T,N,F,yardley road
236,Cottesbrooke Infant and Nursery School,yardley road,B27 6LG,-1.817371949,52.45255494,Acocks Green,Mixed,Good,130000,B27 6LR,T,N,F,yardley road
237,Cottesbrooke Infant and Nursery School,yardley road,B27 6LG,-1.817371949,52.45255494,Acocks Green,Mixed,Good,155500,B27 6LR,T,N,F,yardley road
238,Cottesbrooke Infant and Nursery School,yardley road,B27 6LG,-1.817371949,52.45255494,Acocks Green,Mixed,Good,235000,B27 6LZ,O,N,F,yardley road
239,Court Farm Primary School,tedbury crescent,B23 5NS,-1.85361097,52.5337755,Erdington,Mixed,Good,145000,B23 5NG,T,N,F,tedbury crescent
240,Court Farm Primary School,tedbury crescent,B23 5NS,-1.85361097,52.5337755,Erdington,Mixed,Good,79000,B23 5NG,S,N,L,tedbury crescent
241,Deykin Avenue Junior and Infant School,deykin avenue,B6 7BU,-1.87563195,52.51414867,Witton,Mixed,Requires improvement,135000,B6 7BE,T,N,F,deykin avenue
242,Deykin Avenue Junior and Infant School,deykin avenue,B6 7BU,-1.87563195,52.51414867,Witton,Mixed,Requires improvement,110500,B6 7BG,T,N,F,deykin avenue
243,Deykin Avenue Junior and Infant School,deykin avenue,B6 7BU,-1.87563195,52.51414867,Witton,Mixed,Requires improvement,130000,B6 7BG,T,N,F,deykin avenue
244,Dorrington Academy,dorrington road,B42 1QR,-1.9229055869999998,52.52984919,Perry Barr,Mixed,Outstanding,170000,B42 1QT,S,N,F,dorrington road
245,English Martyrs' Catholic Primary School,evelyn road,B11 3JW,-1.8636846230000002,52.45102603,Sparkhill,Mixed,Outstanding,165000,B11 3JN,T,N,F,evelyn road
246,Erdington Hall Primary School,ryland road,B24 8JJ,-1.841262472,52.51179728,Erdington,Mixed,Good,305000,B15 2BW,S,N,F,ryland road
247,Erdington Hall Primary School,ryland road,B24 8JJ,-1.841262472,52.51179728,Erdington,Mixed,Good,210000,B24 8JH,T,N,F,ryland road
248,Erdington Hall Primary School,ryland road,B24 8JJ,-1.841262472,52.51179728,Erdington,Mixed,Good,198000,B24 8JH,S,N,F,ryland road
249,Erdington Hall Primary School,ryland road,B24 8JJ,-1.841262472,52.51179728,Erdington,Mixed,Good,183500,B24 8JJ,T,N,F,ryland road
250,Erdington Hall Primary School,ryland road,B24 8JJ,-1.841262472,52.51179728,Erdington,Mixed,Good,193500,B24 8JJ,S,N,F,ryland road
251,Erdington Hall Primary School,ryland road,B24 8JJ,-1.841262472,52.51179728,Erdington,Mixed,Good,200000,B24 8JJ,T,N,F,ryland road
252,Fairfax,fairfax road,B75 7JT,-1.79769983,52.56144499,,Mixed,Good,152000,B31 3SB,T,N,F,fairfax road
253,Fairfax,fairfax road,B75 7JT,-1.79769983,52.56144499,,Mixed,Good,163000,B31 3SS,T,N,F,fairfax road
254,Firs Primary School,dreghorn road,B36 8LL,-1.803003521,52.50424318,Castle Bromwich,Mixed,Requires improvement,196000,B36 8LN,T,N,L,dreghorn road
255,The Pines Special School,dreghorn road,B36 8LL,-1.802173147,52.50478929999999,,Mixed,Good,196000,B36 8LN,T,N,L,dreghorn road
256,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,4050000,B32 1NA,S,N,F,quinton road west
257,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,4050000,B32 1NA,S,N,F,quinton road west
258,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,1235000,B32 1PH,O,N,F,quinton road west
259,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,191500,B32 1QE,T,N,F,quinton road west
260,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,323000,B32 1QG,S,N,F,quinton road west
261,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,125000,B32 2QD,T,N,F,quinton road west
262,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,230000,B32 2RJ,S,N,F,quinton road west
263,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,1235000,B32 2RJ,O,N,F,quinton road west
264,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,213120,B32 2RL,T,N,F,quinton road west
265,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement,450000,B32 2RL,S,N,F,quinton road west
266,George Dixon Academy,portland road,B16 9GD,-1.9565372030000001,52.47665491,Edgbaston,Mixed,Good,470000,B16 9HS,S,N,F,portland road
267,George Dixon Academy,portland road,B16 9GD,-1.9565372030000001,52.47665491,Edgbaston,Mixed,Good,75000,B16 9JD,F,N,L,portland road
268,George Dixon Academy,portland road,B16 9GD,-1.9565372030000001,52.47665491,Edgbaston,Mixed,Good,635000,B16 9QX,D,N,F,portland road
269,George Dixon Academy,portland road,B16 9GD,-1.9565372030000001,52.47665491,Edgbaston,Mixed,Good,140250,B17 8LT,T,N,F,portland road
270,George Dixon Academy,portland road,B16 9GD,-1.9565372030000001,52.47665491,Edgbaston,Mixed,Good,150000,B17 8LT,T,N,F,portland road
271,George Dixon Primary School,city road,B17 8LE,-1.957273539,52.4764304,Edgbaston,Mixed,Requires improvement,249000,B16 0HG,S,N,F,city road
272,George Dixon Primary School,city road,B17 8LE,-1.957273539,52.4764304,Edgbaston,Mixed,Requires improvement,255000,B17 8LN,S,N,F,city road
273,Gilbertstone Primary School,clay lane,B26 1EH,-1.809063871,52.45461857,,Mixed,Good,225000,B26 1DX,S,N,F,clay lane
274,Gilbertstone Primary School,clay lane,B26 1EH,-1.809063871,52.45461857,,Mixed,Good,185000,B26 1DY,T,N,F,clay lane
275,Gilbertstone Primary School,clay lane,B26 1EH,-1.809063871,52.45461857,,Mixed,Good,175000,B26 1DY,T,N,F,clay lane
276,Gilbertstone Primary School,clay lane,B26 1EH,-1.809063871,52.45461857,,Mixed,Good,206000,B26 1EP,T,N,F,clay lane
277,Gilbertstone Primary School,clay lane,B26 1EH,-1.809063871,52.45461857,,Mixed,Good,188000,B26 1ES,S,N,F,clay lane
278,Gilbertstone Primary School,clay lane,B26 1EH,-1.809063871,52.45461857,,Mixed,Good,235500,B26 1ES,S,N,F,clay lane
279,Glenmead Primary School,glenmead road,B44 8UQ,-1.9000112340000002,52.54123863,,Mixed,Requires improvement,188000,B44 8UQ,S,N,F,glenmead road
280,Green Meadow Primary School,green meadow road,B29 4EE,-1.9723997919999998,52.42882837,Selly Oak,Mixed,Requires improvement,433000,B29 4DE,S,N,F,green meadow road
281,Green Meadow Primary School,green meadow road,B29 4EE,-1.9723997919999998,52.42882837,Selly Oak,Mixed,Requires improvement,330150,B29 4DE,S,N,F,green meadow road
282,Green Meadow Primary School,green meadow road,B29 4EE,-1.9723997919999998,52.42882837,Selly Oak,Mixed,Requires improvement,460000,B29 4DR,S,N,F,green meadow road
283,Green Meadow Primary School,green meadow road,B29 4EE,-1.9723997919999998,52.42882837,Selly Oak,Mixed,Requires improvement,232000,B29 4ED,T,N,F,green meadow road
287,Grestone Academy,grestone avenue,B20 1ND,-1.937937012,52.52228851,Handsworth Wood,Mixed,Requires improvement,345000,B20 1AR,T,N,F,grestone avenue
288,Grestone Academy,grestone avenue,B20 1ND,-1.937937012,52.52228851,Handsworth Wood,Mixed,Requires improvement,331000,B20 1AU,S,N,F,grestone avenue
289,Grestone Academy,grestone avenue,B20 1ND,-1.937937012,52.52228851,Handsworth Wood,Mixed,Requires improvement,245000,B20 1AU,S,N,L,grestone avenue
290,Grestone Academy,grestone avenue,B20 1ND,-1.937937012,52.52228851,Handsworth Wood,Mixed,Requires improvement,295000,B20 1AY,T,N,L,grestone avenue
291,Grestone Academy,grestone avenue,B20 1ND,-1.937937012,52.52228851,Handsworth Wood,Mixed,Requires improvement,240000,B20 1LE,S,N,F,grestone avenue
292,Grestone Academy,grestone avenue,B20 1ND,-1.937937012,52.52228851,Handsworth Wood,Mixed,Requires improvement,320000,B20 1ND,S,N,F,grestone avenue
293,Guardian Angels Catholic Primary School,hurst lane,B34 7HN,-1.764234927,52.49694358,Shard End,Mixed,Good,302000,B34 7HS,S,N,F,hurst lane
294,Guardian Angels Catholic Primary School,hurst lane,B34 7HN,-1.764234927,52.49694358,Shard End,Mixed,Good,180000,B34 7HS,S,N,F,hurst lane
297,Gunter Primary School,gunter road,B24 0RU,-1.8084520219999998,52.52108037,Pype Hayes,Mixed,Good,264000,B24 0RY,D,N,L,gunter road
298,Gunter Primary School,gunter road,B24 0RU,-1.8084520219999998,52.52108037,Pype Hayes,Mixed,Good,254000,B24 0RY,D,N,L,gunter road
299,Gunter Primary School,gunter road,B24 0RU,-1.8084520219999998,52.52108037,Pype Hayes,Mixed,Good,254000,B24 0RY,T,N,L,gunter road
300,Hall Green Infant School,petersfield road,B28 0AR,-1.8454493459999999,52.43113572,Hall Green,Mixed,Good,363000,B28 0AR,D,N,F,petersfield road
301,Hall Green Infant School,petersfield road,B28 0AR,-1.8454493459999999,52.43113572,Hall Green,Mixed,Good,325000,B28 0AT,S,N,F,petersfield road
302,Hall Green Infant School,petersfield road,B28 0AR,-1.8454493459999999,52.43113572,Hall Green,Mixed,Good,255000,B28 0AU,T,N,F,petersfield road
303,Hall Green Infant School,petersfield road,B28 0AR,-1.8454493459999999,52.43113572,Hall Green,Mixed,Good,245000,B28 0AU,T,N,F,petersfield road
304,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,255000,B11 1AD,S,N,F,stratford road
305,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,385000,B11 4AE,O,N,F,stratford road
306,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,487500,B11 4BU,O,N,F,stratford road
307,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,320000,B11 4DN,O,N,F,stratford road
308,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,295000,B11 4DN,O,N,F,stratford road
309,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,335000,B28 8AE,S,N,F,stratford road
310,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,72000,B28 8AT,F,N,L,stratford road
311,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,65000,B28 8AT,F,N,L,stratford road
312,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,72000,B28 8AT,F,N,L,stratford road
313,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,227000,B28 8BH,T,N,F,stratford road
314,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,196000,B28 8BH,T,N,F,stratford road
315,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,163000,B28 8BH,T,N,F,stratford road
316,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,6850000,B28 8BX,O,N,F,stratford road
317,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,275000,B28 9BE,T,N,F,stratford road
318,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,230000,B28 9EE,T,N,F,stratford road
319,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,115000,B28 9ET,F,N,L,stratford road
320,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,100000,B28 9ET,F,N,L,stratford road
321,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,495000,B28 9HH,O,N,F,stratford road
322,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,288000,B28 9HS,S,N,F,stratford road
323,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,470000,B28 9HT,S,N,F,stratford road
324,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,465000,B28 9HT,S,N,F,stratford road
325,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,274500,B28 9JA,O,N,L,stratford road
326,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good,1745000,B28 9JB,O,N,F,stratford road
327,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,255000,B11 1AD,S,N,F,stratford road
328,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,385000,B11 4AE,O,N,F,stratford road
329,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,487500,B11 4BU,O,N,F,stratford road
330,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,320000,B11 4DN,O,N,F,stratford road
331,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,295000,B11 4DN,O,N,F,stratford road
332,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,335000,B28 8AE,S,N,F,stratford road
333,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,72000,B28 8AT,F,N,L,stratford road
334,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,65000,B28 8AT,F,N,L,stratford road
335,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,72000,B28 8AT,F,N,L,stratford road
336,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,227000,B28 8BH,T,N,F,stratford road
337,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,196000,B28 8BH,T,N,F,stratford road
338,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,163000,B28 8BH,T,N,F,stratford road
339,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,6850000,B28 8BX,O,N,F,stratford road
340,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,275000,B28 9BE,T,N,F,stratford road
341,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,230000,B28 9EE,T,N,F,stratford road
342,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,115000,B28 9ET,F,N,L,stratford road
343,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,100000,B28 9ET,F,N,L,stratford road
344,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,495000,B28 9HH,O,N,F,stratford road
345,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,288000,B28 9HS,S,N,F,stratford road
346,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,470000,B28 9HT,S,N,F,stratford road
347,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,465000,B28 9HT,S,N,F,stratford road
348,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,274500,B28 9JA,O,N,L,stratford road
349,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good,1745000,B28 9JB,O,N,F,stratford road
350,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,255000,B11 1AD,S,N,F,stratford road
351,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,385000,B11 4AE,O,N,F,stratford road
352,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,487500,B11 4BU,O,N,F,stratford road
353,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,320000,B11 4DN,O,N,F,stratford road
354,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,295000,B11 4DN,O,N,F,stratford road
355,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,335000,B28 8AE,S,N,F,stratford road
356,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,72000,B28 8AT,F,N,L,stratford road
357,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,65000,B28 8AT,F,N,L,stratford road
358,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,72000,B28 8AT,F,N,L,stratford road
359,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,227000,B28 8BH,T,N,F,stratford road
360,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,196000,B28 8BH,T,N,F,stratford road
361,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,163000,B28 8BH,T,N,F,stratford road
362,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,6850000,B28 8BX,O,N,F,stratford road
363,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,275000,B28 9BE,T,N,F,stratford road
364,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,230000,B28 9EE,T,N,F,stratford road
365,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,115000,B28 9ET,F,N,L,stratford road
366,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,100000,B28 9ET,F,N,L,stratford road
367,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,495000,B28 9HH,O,N,F,stratford road
368,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,288000,B28 9HS,S,N,F,stratford road
369,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,470000,B28 9HT,S,N,F,stratford road
370,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,465000,B28 9HT,S,N,F,stratford road
371,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,274500,B28 9JA,O,N,L,stratford road
372,St John's CofE Primary School,stratford road,B11 4EA,-1.864572125,52.44950781,Sparkhill,Mixed,Outstanding,1745000,B28 9JB,O,N,F,stratford road
373,Hall Green School,southam road,B28 0AA,-1.8489437180000001,52.43292928,Hall Green,Mixed,Good,276000,B28 8DQ,S,N,F,southam road
374,Hamstead Hall Academy,craythorne avenue,B20 1HL,-1.94211219,52.53031862,Handsworth Wood,Mixed,Good,257000,B20 1LP,S,N,F,craythorne avenue
375,Harborne Academy,harborne road,B15 3JL,-1.9382423219999998,52.46185833,Edgbaston,Mixed,Good,195000,B15 3JA,F,N,L,harborne road
376,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,256125,B14 7SS,S,N,L,station road
377,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,256125,B14 7SS,T,N,F,station road
378,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,325000,B14 7TB,T,N,F,station road
379,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,410000,B14 7TE,T,N,F,station road
380,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,430000,B17 9LP,T,N,F,station road
381,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,499950,B17 9LP,T,N,F,station road
382,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,527000,B17 9LX,S,N,F,station road
383,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,139000,B21 0EX,T,N,F,station road
384,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,140000,B21 0EZ,T,N,F,station road
385,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,155000,B23 6UB,S,N,F,station road
386,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,320000,B23 6UG,O,N,F,station road
387,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,215000,B27 6DN,O,N,F,station road
388,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,395000,B30 1DB,T,N,F,station road
389,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,260000,B30 1DE,T,N,F,station road
390,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,175000,B31 3TE,T,N,F,station road
391,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,127000,B33 9AX,T,N,F,station road
392,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,375000,B37 7BA,D,N,F,station road
393,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,308000,B46 2EH,D,N,F,station road
394,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding,490000,B46 2JA,S,N,F,station road
