,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING,price_paid,postcode,property_type,new_build,estate_type,street
67,Ark Boulton Academy,golden hillock road,B11 2QG,-1.860838394,52.4577473,Sparkhill,Mixed,Good,153000,B11 2QL,T,N,F,golden hillock road
68,Ark Boulton Academy,golden hillock road,B11 2QG,-1.860838394,52.4577473,Sparkhill,Mixed,Good,105000,B11 2QL,T,N,F,golden hillock road
69,Audley Primary School,audley road,B33 9HY,-1.796120435,52.48832748,Stechford,Mixed,Requires improvement,155000,B33 9BT,S,N,F,audley road
70,Audley Primary School,audley road,B33 9HY,-1.796120435,52.48832748,Stechford,Mixed,Requires improvement,157000,B33 9DY,S,N,F,audley road
71,Balaam Wood School,new street,B45 0EU,-2.017152247,52.40386929,Frankley,Mixed,Serious Weaknesses,230000,B2 4PA,F,N,L,new street
72,Balaam Wood School,new street,B45 0EU,-2.017152247,52.40386929,Frankley,Mixed,Serious Weaknesses,150000,B2 4PA,F,N,L,new street
73,Balaam Wood School,new street,B45 0EU,-2.017152247,52.40386929,Frankley,Mixed,Serious Weaknesses,269950,B2 4PE,F,N,L,new street
74,Balaam Wood School,new street,B45 0EU,-2.017152247,52.40386929,Frankley,Mixed,Serious Weaknesses,181000,B2 4PE,F,N,L,new street
75,Balaam Wood School,new street,B45 0EU,-2.017152247,52.40386929,Frankley,Mixed,Serious Weaknesses,125000,B2 4PE,F,N,L,new street
76,Balaam Wood School,new street,B45 0EU,-2.017152247,52.40386929,Frankley,Mixed,Serious Weaknesses,169950,B23 6TS,T,N,F,new street
77,Balaam Wood School,new street,B45 0EU,-2.017152247,52.40386929,Frankley,Mixed,Serious Weaknesses,180000,B23 6TU,S,N,F,new street
78,Holly Hill Methodist CofE Infant School,new street,B45 0EU,-2.01696154,52.40461546,Rubery,Mixed,Good,230000,B2 4PA,F,N,L,new street
79,Holly Hill Methodist CofE Infant School,new street,B45 0EU,-2.01696154,52.40461546,Rubery,Mixed,Good,150000,B2 4PA,F,N,L,new street
80,Holly Hill Methodist CofE Infant School,new street,B45 0EU,-2.01696154,52.40461546,Rubery,Mixed,Good,269950,B2 4PE,F,N,L,new street
81,Holly Hill Methodist CofE Infant School,new street,B45 0EU,-2.01696154,52.40461546,Rubery,Mixed,Good,181000,B2 4PE,F,N,L,new street
82,Holly Hill Methodist CofE Infant School,new street,B45 0EU,-2.01696154,52.40461546,Rubery,Mixed,Good,125000,B2 4PE,F,N,L,new street
83,Holly Hill Methodist CofE Infant School,new street,B45 0EU,-2.01696154,52.40461546,Rubery,Mixed,Good,169950,B23 6TS,T,N,F,new street
84,Holly Hill Methodist CofE Infant School,new street,B45 0EU,-2.01696154,52.40461546,Rubery,Mixed,Good,180000,B23 6TU,S,N,F,new street
85,Barford Primary School,barford road,B16 0EF,-1.935031137,52.48463113,Ladywood,Mixed,Good,70000,B16 0DY,T,N,F,barford road
86,Bartley Green School,adams hill,B32 3QJ,-1.999072363,52.43748437,,Mixed,Outstanding,150000,B32 3PD,S,N,F,adams hill
87,St Peter's Catholic Primary School,adams hill,B32 3QD,-1.99977399,52.43631834,Bartley Green,Mixed,Outstanding,150000,B32 3PD,S,N,F,adams hill
88,Baskerville School,fellows lane,B17 9TS,-1.966651219,52.45783315,Harborne,Mixed,Good,470000,B17 9TP,S,N,F,fellows lane
89,Beaufort School,stechford road,B34 6BJ,-1.8073728619999998,52.49254826,Hodge Hill,Mixed,Outstanding,70000,B34 6AT,S,N,F,stechford road
90,Beaufort School,stechford road,B34 6BJ,-1.8073728619999998,52.49254826,Hodge Hill,Mixed,Outstanding,378000,B34 6BL,S,N,F,stechford road
